product_name,data_id,itemid,pre_test_info,report_delivery,home_collection_available,price,sample_type,general_faq
Free T3 & Free T4,free-t3-free-t4,2291,Any special preparation for the test is not required,Speak to our customer care,Home Collection Available,700.0,Blood,"FREE T4 (FT4)
 FREE T4 (FT4)

FREE T3 (FT3)
 FREE T3 (FT3)"
Antithyroid Antibodies (anti Tpo And Anti Thyroglobulin Antibody),antithyroid-antibodies-anti-tpo-and-anti-thyroglobulin-antibody,1238,No special preparation is required for the test.,Speak to our customer care,Home Collection Available,2750.0,Blood,"ANTI THYROGLOBULIN ANTIBODY
 ANTI THYROGLOBULIN ANTIBODY

THYROID PEROXIDASE ANTIBODIES (ANTI MICROSOMAL ANTIBODIES)
 THYROID PEROXIDASE (TPO) / MICROSOMAL ANTIBODY"
Glucose - Serum/plasma - Fasting And 2 Hours After 75g Glucose,glucose-serumplasma-fasting-and-2-hours-after-75g-glucose,1009,"First sample to be provided, with overnight fasting. Second  sample after consuming 75 G of Glucose.",Speak to our customer care,Home Collection Available,140.0,Blood,"GLUCOSE, FASTING
 GLUCOSE
 FASTING

GLUCOSE, POST PRANDIAL (PP), 2 HOURS (POST MEAL)
 GLUCOSE
 POST PRANDIAL (PP)
 2 HOURS"
Glucose Fasting & Pp,glucose-fasting-pp,1020,"First sample to be provided, with overnight fasting. Second sample after 2 hours of having meal.",Speak to our customer care,Home Collection Available,160.0,Blood,"GLUCOSE, FASTING
 GLUCOSE
 FASTING

GLUCOSE, POST PRANDIAL (PP), 2 HOURS (POST MEAL)
 GLUCOSE
 POST PRANDIAL (PP)
 2 HOURS"
"Fsh,lh,prolactin, T3,t4,tsh",fshlhprolactin-t3t4tsh,1025,No special preparation is required for the test.,Speak to our customer care,Home Collection Available,1950.0,Blood,"FOLLICLE STIMULATING HORMONE (FSH)
 FOLLICLE STIMULATING HORMONE (FSH)

LUTEINIZING HORMONE (LH)
 LH:LUTEINIZING HORMONE

PROLACTIN
 PROLACTIN

TRI IODOTHYRONINE (T3, TOTAL), SERUM
 TRI-IODOTHYRONINE (T3
 TOTAL)

THYROXINE (T4, TOTAL), SERUM
 THYROXINE (T4
 TOTAL)

THYROID STIMULATING HORMONE (TSH), SERUM
 THYROID STIMULATING HORMONE (TSH)"
"Fsh,lh,prl,testosterone",fshlhprltestosterone,1026,No special preparation is required for the test.,Speak to our customer care,Home Collection Available,2250.0,Blood,"FOLLICLE STIMULATING HORMONE (FSH)
 FOLLICLE STIMULATING HORMONE (FSH)

LUTEINIZING HORMONE (LH)
 LH:LUTEINIZING HORMONE

PROLACTIN
 PROLACTIN

TESTOSTERONE, TOTAL
 TESTOSTERONE
 TOTAL"
"Fsh,lh,testosterone",fshlhtestosterone,1027,No special preparation is required for the test.,Speak to our customer care,Home Collection Available,1700.0,Blood,"FOLLICLE STIMULATING HORMONE (FSH)
 FOLLICLE STIMULATING HORMONE (FSH)

LUTEINIZING HORMONE (LH)
 LH:LUTEINIZING HORMONE

TESTOSTERONE, TOTAL
 TESTOSTERONE
 TOTAL"
Cmv Igg/igm,cmv-iggigm,1028,No special preparation is required for the test.,Speak to our customer care,Home Collection Available,700.0,Blood,"CMV IGG
 CYTOMEGALOVIRUS (CMV) IgG

CMV IGM
 CYTOMEGALOVIRUS (CMV) IgM"
Boh Profile Maxi,boh-profile-maxi,1030,Overnight fasting is preferred. Avoid Heparin for 1 day and Oral Anticoagulants for 7 days prior to test. Brief clinical history to be provided.,Speak to our customer care,Home Collection Available,10750.0,Blood,"THYROID STIMULATING HORMONE (TSH), SERUM
 THYROID STIMULATING HORMONE (TSH)

ANTI NUCLEAR ANTIBODY (ANA) BY IIF
 ADVISED
ESITIMATED TITER
FLUORESCENCE INTENSITY
FLUORESCENCE PATTERN
RESULT
SUGGESTED ANTIBODY

PROTHROMBIN TIME (PT/INR)
 Control (MNPT)
International Normalized Ratio (INR)
ISI
Prothrombin Index
Prothrombin Time
Ratio

ACTIVATED PARTIAL THROMBOPLASTIN TIME (APTT)
 ACTIVATED PARTIAL THROMBOPLASTIN TIME (APTT)
APTT - CONTROL RESULT

ANTI PHOSPHOLIPID ANTIBODY IgG
 ANTI PHOSPHOLIPID ANTIBODY IgG

ANTI PHOSPHOLIPID ANTIBODY IgM
 ANTI PHOSPHOLIPID ANTIBODY IgM

CMV IGG
 CYTOMEGALOVIRUS (CMV) IgG

CMV IGM
 CYTOMEGALOVIRUS (CMV) IgM

HSV IGG
 HSV IGG

HSV IGM
 HSV IGM

HERPES SIMPLEX VIRUS 1+2 IGG AB SERUM
 HERPES SIMPLEX VIRUS 1 & 2 lgG

HERPES SIMPLEX VIRUS 1+2 IGM AB SERUM
 HERPES SIMPLEX VIRUS 1 & 2 lgM

RUBELLA IgG ANTIBODIES
 RUBELLA IgG ANTIBODIES

RUBELLA IGM ANTIBODIES
 RUBELLA IgM ANTIBODIES

RUBELLA (GERMAN MEASLES) AVIDITY, IGG
 RUBELLA (GERMAN MEASLES) AVIDITY
 IGG

CYTOMEGALOVIRUS (CMV) AVIDITY, IGG
 CYTOMEGALOVIRUS (CMV) AVIDITY
 IGG

TOXOPLASMA IgG ANTIBODIES
 TOXOPLASMA IgG ANTIBODIES

TOXOPLASMA IGM ANTIBODIES
 TOXOPLASMA IGM ANTIBODIES

ANTI CARDIOLIPIN Ab IgG
 ANTI CARDIOLIPIN ANTIBODY IgG

ANTI CARDIOLIPIN Ab IgM
 ANTI CARDIOLIPIN ANTIBODY IgM

LUPUS ANTICOAGULANT BY DRVVT
 DRVV CONFIRM (CONTROL)
DRVV CONFIRM (TEST)
DRVV CONFIRM TIME
DRVV SCREEN (TEST)
DRVV SCREEN TIME
DRVV SCREEN/DRVV CONFIRM RATIO
DRVV SREEN (CONTROL)
LUPUS ANTICOAGULANT
MIXING STUDIES
PTT (CONTROL)
PTT (TEST)
PTT (TEST+CONTROL 1:1)"
Pre-operative Panel,preoperative-panel,1031,Speak to our customer care,Speak to our customer care,Home Collection Available,1800.0,Speak to our customer care,"BLEEDING TIME (BT) AND CLOTTING TIME (CT)
 Bleeding Time
Clotting Time

HIV RAPID
 HIV RAPID

GLUCOSE, RANDOM
 GLUCOSE
 RANDOM

HBS AG SCREENING(RAPID)
 HBS AG SCREENING(RAPID)

CREATININE, SERUM
 CREATININE

BLOOD GROUP ABO AND RH FACTOR
 A Cells
Anti A
Anti B
Anti D
B Cells
BLOOD GROUP TYPE
Forward Grouping
O Cells
Reverse Grouping
Rh TYPE"
